,Home_Team,Away_Team,Result,Link,Season,Round,League
65,Karlsruher SC,FC St. Pauli,1-3,https://www.besoccer.com/match/karlsruher-sc/st-pauli/202216302,2022,8,2_liga
66,Ingolstadt 04,Fortuna Düsseldorf,1-2,https://www.besoccer.com/match/fc-ingolstadt-04/fortuna-dusseldorf/202216308,2022,8,2_liga
67,Paderborn,Holstein Kiel,1-2,https://www.besoccer.com/match/paderborn/holstein-kiel/202216309,2022,8,2_liga
68,Hansa Rostock,Schalke 04,0-2,https://www.besoccer.com/match/hansa-rostock/schalke-04/202216307,2022,8,2_liga
69,Hamburger SV,Nürnberg,2-2,https://www.besoccer.com/match/hamburger-sv/fc-nurnberg/202216301,2022,8,2_liga
70,Hannover 96,Sandhausen,1-2,https://www.besoccer.com/match/hannover-96/sv-sandhausen/202216304,2022,8,2_liga
71,Dynamo Dresden,Werder Bremen,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/werder-bremen/202216306,2022,8,2_liga
72,Erzgebirge Aue,Hamburger SV,1-1,https://www.besoccer.com/match/fc-erzgebirge-aue/hamburger-sv/202216316,2022,9,2_liga
73,Werder Bremen,Heidenheim,3-0,https://www.besoccer.com/match/werder-bremen/heidenheim/202216310,2022,9,2_liga
74,Holstein Kiel,Hansa Rostock,0-2,https://www.besoccer.com/match/holstein-kiel/hansa-rostock/202216312,2022,9,2_liga
75,Fortuna Düsseldorf,Paderborn,2-3,https://www.besoccer.com/match/fortuna-dusseldorf/paderborn/202216313,2022,9,2_liga
76,Jahn Regensburg,Karlsruher SC,2-2,https://www.besoccer.com/match/ssv-jahn-regensburg/karlsruher-sc/202216317,2022,9,2_liga
77,Nürnberg,Hannover 96,0-0,https://www.besoccer.com/match/fc-nurnberg/hannover-96/202216315,2022,9,2_liga
78,Schalke 04,Ingolstadt 04,3-0,https://www.besoccer.com/match/schalke-04/fc-ingolstadt-04/202216311,2022,9,2_liga
79,FC St. Pauli,Dynamo Dresden,3-0,https://www.besoccer.com/match/st-pauli/sg-dynamo-dresden/202216314,2022,9,2_liga
80,Sandhausen,Darmstadt 98,1-6,https://www.besoccer.com/match/sv-sandhausen/darmstadt-98/202216318,2022,9,2_liga
81,Paderborn,Jahn Regensburg,1-1,https://www.besoccer.com/match/paderborn/ssv-jahn-regensburg/202216323,2022,10,2_liga
82,Hannover 96,Schalke 04,0-1,https://www.besoccer.com/match/hannover-96/schalke-04/202216324,2022,10,2_liga
